profile_id,prompt_term,expected_term,forced_prefix_token_count,forced_prefix_text,prefix_completion_hit,completion_preview
greedy-12,fixed,fixed,1,f,False,"fidddfix
fix"
greedy-12,fixed,fixed,2,fi,False,"fidddfix
fix"
greedy-12,fixed,fixed,3,fix,False,fixddfeddddd
greedy-12,fixed,fixed,4,fixe,True,fixedfeddddd
greedy-12,fixed,fixed,5,fixed,True,fixedfeddddd
greedy-12,loss,loss,1,l,True,lossssssssss
greedy-12,loss,loss,2,lo,True,lossssssssss
greedy-12,loss,loss,3,los,True,lossssssssss
greedy-12,loss,loss,4,loss,True,lossssssssss
greedy-24,fixed,fixed,1,f,False,"fidddfix
fixxedddddddd:l"
greedy-24,fixed,fixed,2,fi,False,"fidddfix
fixxedddddddd:l"
greedy-24,fixed,fixed,3,fix,False,fixddfedddddddd:lossssss
greedy-24,fixed,fixed,4,fixe,True,fixedfedddddddd:lossssss
greedy-24,fixed,fixed,5,fixed,True,fixedfedddddddd:lossssss
greedy-24,loss,loss,1,l,True,lossssssssssssssssssssss
greedy-24,loss,loss,2,lo,True,lossssssssssssssssssssss
greedy-24,loss,loss,3,los,True,lossssssssssssssssssssss
greedy-24,loss,loss,4,loss,True,lossssssssssssssssssssss
top2-24,fixed,fixed,1,f,False,"fidddfix
fixxedddddddd:l"
top2-24,fixed,fixed,2,fi,False,fidddlosssssssssssssssss
top2-24,fixed,fixed,3,fix,False,fixddfedddddddd:lossssss
top2-24,fixed,fixed,4,fixe,True,"fixedloddddd
lossss
f-ss"
top2-24,fixed,fixed,5,fixed,True,"fixedfed
dddddd
lossssss"
top2-24,loss,loss,1,l,True,"losssssss
fixssss
lossss"
top2-24,loss,loss,2,lo,True,lossssssssssssssssssssss
top2-24,loss,loss,3,los,True,lossssssssssssssssssssss
top2-24,loss,loss,4,loss,True,"lossss
fosssss
fixs
feds"
