phase,mode_or_arm,seed,sparsity,heldout_acc,known_share,random_share,share_margin,top_freqs,t_gen,step_cap,grokked
P,per_tensor,,0.5,0.406536,0.314068,0.205057,0.109011,"43,48,3,26,12",,,
P,per_tensor,,0.7,0.074266,0.298791,0.166861,0.13193,"43,3,48,26,44",,,
P,per_tensor,,0.8,0.02883,0.27392,0.146738,0.127182,"3,43,48,26,12",,,
P,per_tensor,,0.9,0.015677,0.244907,0.123376,0.121531,"48,43,44,12,3",,,
P,per_tensor,,0.95,0.011558,0.21102,0.114988,0.096032,"48,44,43,3,14",,,
P,global,,0.5,0.486781,0.30518,0.204559,0.100621,"43,3,48,26,44",,,
P,global,,0.7,0.119835,0.305282,0.16648,0.138802,"43,3,48,26,44",,,
P,global,,0.8,0.038927,0.305102,0.149546,0.155556,"43,3,48,26,44",,,
P,global,,0.9,0.012223,0.305274,0.12698,0.178294,"43,3,48,26,44",,,
P,global,,0.95,0.009698,0.314153,0.116563,0.19759,"43,3,48,26,44",,,
