arm,width,seed,phase,max_gap,t_mem,t_gen,delay,heldout_acc
boundary,20,1337,coupled,0.3455,1300,1300,0,0.985652
boundary,20,1338,coupled,0.4679,1500,1500,0,0.988043
boundary,20,1339,coupled,0.4386,1700,1700,0,0.957221
boundary,24,1337,coupled,0.4766,1100,1100,0,0.988442
boundary,24,1338,delayed,0.7073,2300,3600,1300,0.98791
boundary,24,1339,delayed,0.7238,2600,2900,300,0.974625
boundary,28,1337,delayed,0.8387,1900,5100,3200,0.963332
boundary,28,1338,delayed,0.7687,1600,2700,1100,0.960941
boundary,28,1339,delayed,0.7486,1600,3400,1800,0.979407
anchor,16,1337,coupled,0.337,,2800,,0.952305
anchor,16,1338,coupled,0.4079,2600,2600,0,0.955228
anchor,32,1337,delayed,0.8067,1200,2600,1400,0.97024
anchor,32,1338,delayed,0.729,800,3400,2600,0.953368
